"RT" "z_score" "Go1" "ACC" "Trial_type" "V1" "V2" "V3" "V4" "V5" "Smoothed_VTC"
"106" 0.79968 0.62533399051799 1 1 1 1 1 48 2 0 "Out_zone"
"107" 0.79976 0.626974269489686 1 1 2 1 1 48 2 0 "Out_zone"
"108" 0.80037 0.639481396648856 1 1 1 1 1 48 2 0 "Out_zone"
"109" 0.6627 2.18323367876586 1 1 2 1 1 48 1 0 "Out_zone"
"110" 0.80007 0.633330350505 1 1 1 1 1 48 2 0 "Out_zone"
"111" 0.793745 0.503645794305406 1 0 2 0 1 48 1 0 "Out_zone"
"112" 0.78742 0.373961238105814 1 1 1 1 1 48 2 0 "Out_zone"
"113" 0.79603 0.550496262434431 1 1 2 1 1 48 2 0 "Out_zone"
"114" 0.80084 0.64911803560756 1 1 1 1 1 48 1 0 "Out_zone"
"115" 0.80071 0.646452582278558 1 1 2 1 1 48 1 0 "Out_zone"
"116" 0.80071 0.646452582278558 1 1 1 1 1 48 2 0 "Out_zone"
"117" 0.80078 0.647887826378791 1 1 2 1 1 48 1 0 "Out_zone"
"118" 0.80089 0.650143209964869 1 1 1 1 1 48 1 0 "Out_zone"
"119" 0.79648 0.559722831650212 1 1 2 1 1 48 1 0 "Out_zone"
"120" 0.80111 0.654653977137029 1 1 1 1 1 48 1 0 "Out_zone"
"121" 0.70894 1.23515243312645 2 0 2 1 0 48 2 0 "Out_zone"
"122" 0.80143 0.661215093023807 1 1 1 1 1 48 2 0 "Out_zone"
"123" 0.801435 0.661317610459538 1 0 2 0 1 48 1 0 "Out_zone"
"124" 0.80144 0.66142012789527 1 1 1 1 1 48 2 0 "Out_zone"
"125" 0.80189 0.67064669711105 1 1 2 1 1 48 1 0 "Out_zone"
"126" 0.80156 0.663880546352812 1 1 1 1 1 48 2 0 "Out_zone"
"127" 0.7926 0.48016930152303 2 0 2 1 0 48 2 1 "Out_zone"
"128" 0.797155 0.573562685473885 1 0 1 0 1 48 1 0 "Out_zone"
"129" 0.80171 0.666956069424738 1 1 2 1 1 48 1 0 "Out_zone"
"130" 0.80186 0.670031592496665 1 1 1 1 1 48 2 0 "Out_zone"
"131" 0.80189 0.67064669711105 1 1 2 1 1 48 1 0 "Out_zone"
"132" 0.80182 0.669211453010817 1 1 1 1 1 48 1 0 "Out_zone"
"133" 0.8019 0.670851731982511 1 1 2 1 1 48 2 0 "Out_zone"
"134" 0.7931 0.490421045096122 1 1 1 1 1 48 2 0 "Out_zone"
"135" 0.80227 0.6784380222266 1 1 2 1 1 48 2 0 "Out_zone"
"136" 0.80232 0.679463196583909 1 1 1 1 1 48 1 0 "Out_zone"
"137" 0.8024 0.681103475555603 1 1 2 1 1 48 2 0 "Out_zone"
"138" 0.80245 0.682128649912911 1 1 1 1 1 48 1 1 "Out_zone"
"139" 0.80253 0.683768928884605 1 1 2 1 1 48 2 0 "Out_zone"
"140" 0.80243 0.681718580169987 1 1 1 1 1 48 1 0 "Out_zone"
"141" 0.75617 0.266772735212335 1 1 2 1 1 48 1 0 "Out_zone"
"142" 0.7986 0.603190224400115 1 1 1 1 1 48 1 0 "Out_zone"
"143" 0.79866 0.604420433628887 1 1 2 1 1 48 2 0 "Out_zone"
"144" 0.79883 0.607906026443738 1 1 1 1 1 48 2 0 "Out_zone"
"145" 0.73644 0.671306536606483 1 1 2 1 1 48 1 0 "Out_zone"
"146" 0.79912 0.613852037716131 1 1 1 1 1 48 2 0 "Out_zone"
"147" 0.7531 0.329718440751111 1 1 2 1 1 48 2 0 "Out_zone"
"148" 0.77835 0.187994609689954 1 1 1 1 1 48 2 0 "Out_zone"
"149" 0.75677 0.254470642924626 1 1 2 1 1 48 1 0 "Out_zone"
"150" 0.69013 1.62082302634611 1 1 1 1 1 48 1 0 "Out_zone"
"151" 0.79961 0.623898746417759 1 1 2 1 1 48 1 0 "Out_zone"
"152" 0.799595 0.623591194110567 2 1 1 0 0 48 2 0 "Out_zone"
"153" 0.79958 0.623283641803372 1 1 2 1 1 48 1 0 "Out_zone"
"154" 0.79949 0.621438327960217 1 1 1 1 1 48 2 0 "Out_zone"
"155" 0.79895 0.61036644490128 1 1 2 1 1 48 2 0 "Out_zone"
"156" 0.7997 0.625744060260914 1 1 1 1 1 48 1 0 "Out_zone"
"157" 0.79985 0.62881958333284 1 1 2 1 1 48 2 0 "Out_zone"
"158" 0.799705 0.625846577696645 2 1 1 0 0 48 2 0 "Out_zone"
