"error.no.go.in" "error.no.go.out" "error.go.in" "error.go.out" "variable.1" "Participant"
"111" "0.195652173913043" "0.108695652173913" "0.154822335025381" "0.131979695431472" "Dev" 39
"112" "0.0869565217391304" "0.130434782608696" "0.16751269035533" "0.258883248730964" "RT" 40
"113" "0.108695652173913" "0.108695652173913" "0.185279187817259" "0.241116751269036" "MT" 40
"114" "0.108695652173913" "0.108695652173913" "0.220812182741117" "0.205583756345178" "Dev" 40
"115" "0.0869565217391304" "0.130434782608696" "0.16751269035533" "0.258883248730964" "RT" 41
"116" "0.108695652173913" "0.108695652173913" "0.185279187817259" "0.241116751269036" "MT" 41
"117" "0.108695652173913" "0.108695652173913" "0.220812182741117" "0.205583756345178" "Dev" 41
"118" "0.108695652173913" "0.239130434782609" "0" "0.0101522842639594" "RT" 21
"119" "0.152173913043478" "0.195652173913043" "0.00253807106598985" "0.00761421319796954" "MT" 21
"120" "0.173913043478261" "0.173913043478261" "0.0050761421319797" "0.0050761421319797" "Dev" 21
